Model,Accuracy,Precision,Recall,F1 Score
XGBoost,0.849370709382151,0.7539756782039289,0.6709677419354839,0.7100539588151085
Artificial Neural Network,0.8380434782608696,0.7314727954971857,0.6491155046826222,0.6878376888300805
Decision Tree,0.809725400457666,0.6756949394155382,0.5918834547346514,0.6310184157976481
KNN,0.7890732265446224,0.6282110091743119,0.5700312174817898,0.597708674304419
Logistic Regression,0.794279176201373,0.6767027185033616,0.481789802289282,0.562849501580355
SVM,0.7937070938215103,0.6856611954165376,0.4607700312174818,0.5511575802837939
Naive Bayes,0.3786613272311213,0.3052232085423903,0.9875130072840791,0.46631615154046485
Random Forest,0.7922196796338673,0.8526758869512928,0.2951092611862643,0.43846629560915273
AdaBoost,0.7502860411899314,0.8021978021978022,0.12154006243496358,0.21109705403939996
